class,smd,lower,upper,data_subset,n_studies,n_arms
Short-term psychodynamic psychotherapies individual + AD,-0.49665384275735347,-1.6524091645513623,0.6591014790366554,CFB_plus_BF,283,616
SNRIs,-0.779131283776465,-0.9385361711528432,-0.6197263964000869,CFB_plus_BF,283,616
SSRIs,-0.5392820187131959,-0.6534905564987143,-0.4250734809276775,CFB_plus_BF,283,616
TAU,-0.322592375902945,-0.8648475248198507,0.21966277301396075,CFB_plus_BF,283,616
TCAs,-0.6442909865615598,-0.804451909222335,-0.4841300639007846,CFB_plus_BF,283,616
Trazodone,-0.39444348386063677,-0.7495902272707717,-0.039296740450501855,CFB_plus_BF,283,616
Waitlist,0.9461264047653843,0.4075231800868634,1.4847296294439052,CFB_plus_BF,283,616
Yoga group,-0.7561217285380071,-1.724600669760989,0.21235721268497487,CFB_plus_BF,283,616
Yoga group + AD,-1.8479425356554886,-3.284189952848373,-0.4116951184626041,CFB_plus_BF,283,616
Acupuncture,-0.9569073488673103,-1.4773665497717132,-0.43644814796290743,ALL,311,675
Acupuncture + AD,-1.775668077798417,-2.276478911969349,-1.2748572436274852,ALL,311,675
Any AD,-0.6830589216174818,-1.194380212186119,-0.17173763104884476,ALL,311,675
Any psychotherapy,0.1290621244180281,-0.9300757205410761,1.1881999693771323,ALL,311,675
Attention placebo,0.5656044933518407,-0.4313472549178127,1.5625562416214942,ALL,311,675
Behavioural therapies individual,0.29385073470239575,-0.4212199280237401,1.0089213974285316,ALL,311,675
Behavioural therapies individual + AD,-0.7477860513512757,-1.8131107578010999,0.3175386550985484,ALL,311,675
Cognitive and cognitive behavioural therapies group,-0.9187050985902436,-1.503528391353472,-0.3338818058270151,ALL,311,675
Cognitive and cognitive behavioural therapies group + AD,-1.347179634092623,-2.3586269616973983,-0.33573230648784746,ALL,311,675
Cognitive and cognitive behavioural therapies individual,-0.8699326196446124,-1.1896900376937665,-0.5501752015954583,ALL,311,675
Cognitive and cognitive behavioural therapies individual + AD,-1.3565968037157177,-1.8911645576260783,-0.8220290498053571,ALL,311,675
Cognitive and cognitive behavioural therapies individual + placebo,-1.3312080013458854,-2.2049801597734344,-0.4574358429183363,ALL,311,675
Counselling individual,-0.688949547474826,-1.291884995402302,-0.08601409954734984,ALL,311,675
Counselling individual + AD,-0.21066673538984304,-1.5224224581800498,1.1010889874003638,ALL,311,675
Counselling individual + placebo,0.13310277202438048,-1.6724898735347575,1.9386954175835185,ALL,311,675
Exercise group,-0.9110572176444229,-1.619748744060082,-0.20236569122876402,ALL,311,675
