studyid,arm,treatment,class,data_type,n,mean_change,sd_change,approx_smd
Baldwin 2006b,1,41,SSRIs,BF,165,-76.36,5.908787379126166,-12.92312535559414
Baldwin 2006b,2,43,SSRIs,BF,158,-77.71,5.852088657900742,-13.279019601845212
Baldwin 2012,1,1,Placebo,CFB,145,-14.8,9.63,-1.5368639667705088
Baldwin 2012,2,51,SNRIs,CFB,149,-16.8,9.77,-1.7195496417604914
Balestrieri 1971,1,45,TCAs,BF,37,-12.989999999999998,9.291307765863747,-1.3980809082361088
Balestrieri 1971,2,48,TCAs,BF,37,-11.93,7.319371557722699,-1.6299213540283533
Basterzi 2009,1,42,SSRIs,BF,22,-13.6,7.036334272900912,-1.9328246033417975
Basterzi 2009,2,52,SNRIs,BF,21,-15.3,7.066116330771806,-2.1652629653676874
Baune 2018,1,1,Placebo,CFB,48,-8,8.38,-0.954653937947494
Baune 2018,2,43,SSRIs,CFB,52,-15.96,8.58,-1.8601398601398602
Beach 1992,1,4,Waitlist,BF,15,-7.859999999999999,9.251535007770332,-0.8495887432083878
Beach 1992,2,10,Cognitive and cognitive behavioural therapies individual,BF,15,-17.4,7.366437402163952,-2.362064462108726
Beasley 1991a,1,7,Trazodone,CFB,57,-13.9,7.7,-1.8051948051948052
Beasley 1991a,2,42,SSRIs,CFB,63,-12.2,7.2,-1.6944444444444442
Beasley 1993b,1,42,SSRIs,CFB,65,-12.9,9.9,-1.303030303030303
Beasley 1993b,2,45,TCAs,CFB,71,-11.6,10.3,-1.1262135922330097
Benkert 1996,1,48,TCAs,BIN,82,-19.538495365278152,5.7,-3.4278062044347632
Benkert 1996,2,52,SNRIs,BIN,85,-18.674344123355993,6.2,-3.0119909876380633
Benkert 2000,1,6,Mirtazapine,BIN,139,-11.468089056553149,3.3,-3.475178501985803
Benkert 2000,2,43,SSRIs,BIN,136,-11.082014295481342,3.2,-3.463129467337919
Bersani 1994,1,44,SSRIs,BF,31,-17,6.025777958073132,-2.821212483812813
Bersani 1994,2,45,TCAs,BF,30,-16,5.56506963119061,-2.875076335132379
Bhargava 2012,1,44,SSRIs,BF,30,-11.7,3.088219551780605,-3.7885907409834307
Bhargava 2012,2,48,TCAs,BF,30,-13.33,4.115191368575707,-3.2392175250439434
Bielski 2004,1,41,SSRIs,CFB,97,-15.9,10.3,-1.5436893203883495
Bielski 2004,2,52,SNRIs,CFB,98,-13.6,9.6,-1.4166666666666667
Binnemann 2008,1,1,Placebo,CFB,31,-10.18,7.57,-1.344782034346103
Binnemann 2008,2,44,SSRIs,CFB,30,-13.42,7.61,-1.7634691195795005
Bjerkenstedt 2005,1,1,Placebo,CFB,55,-9.7,7,-1.3857142857142857
Bjerkenstedt 2005,2,42,SSRIs,CFB,54,-8.9,8,-1.1125
Blackburn 1997,1,10,Cognitive and cognitive behavioural therapies individual,BF,24,-9.5,6.274551776820397,-1.5140523718515055
Blackburn 1997,2,53,Any AD,BF,21,-9.2,6.609084656743323,-1.3920233251382452
Blackburn 1997,3,53,Any AD,BF,17,-8.3,5.467174773134658,-1.5181515763471953
Blashki 1971,1,1,Placebo,BF,18,-7.499999999999998,8.31384387633061,-0.9021097956087901
Blashki 1971,2,45,TCAs,BF,13,-11.1,5.302829433425141,-2.093222144773082
Blashki 1971,3,45,TCAs,BF,14,-12.500000000000002,4.712748667179272,-2.652379934252179
Blom 2007,1,18,Interpersonal psychotherapy (IPT) individual,BF,50,-9.9,9.7923439482077,-1.0109939001695305
Blom 2007,2,36,Interpersonal psychotherapy (IPT) individual + placebo,BF,47,-11.1,10.653168542738822,-1.041943526516882
Blom 2007,3,53,Any AD,BF,47,-6.400000000000002,8.675828490697588,-0.7376817103821521
Blom 2007,4,78,Interpersonal psychotherapy (IPT) individual + AD,BF,49,-12.8,9.439809320108113,-1.3559595926089536
Blumenthal 2007/Hoffman 2011,1,1,Placebo,CFB,49,-6.1,7.3,-0.8356164383561644
Blumenthal 2007/Hoffman 2011,2,44,SSRIs,CFB,49,-6.1,6.7,-0.9104477611940298
Blumenthal 2007/Hoffman 2011,3,62,Exercise individual,CFB,53,-7.1,6.9,-1.0289855072463767
Blumenthal 2007/Hoffman 2011,4,63,Exercise group,CFB,51,-7.2,6.9,-1.0434782608695652
Bose 2008,1,1,Placebo,CFB,134,-10.6,10.42,-1.017274472168906
Bose 2008,2,41,SSRIs,CFB,129,-12.1,10.22,-1.1839530332681016
Boulenger 2006,1,41,SSRIs,BF,228,-95.6,5.632946712496982,-16.971578976223313
Boulenger 2006,2,43,SSRIs,BF,223,-92.7,5.686539710966275,-16.30165350313682
Boulenger 2014,1,1,Placebo,CFB,158,-11.7,9.55,-1.2251308900523559
Boulenger 2014,2,51,SNRIs,CFB,146,-21.15,9.3,-2.2741935483870965
Bowman 1995,1,4,Waitlist,BF,10,-0.1999999999999993,7.196526940128829,-0.0277911833949751
Bowman 1995,2,20,Self-help,BF,10,-8.500000000000002,6.615889962809236,-1.2847855765108185
Bowman 1995,3,20,Self-help,BF,10,-9.6,4.20356991139674,-2.2837731267350714
Boyer 1998,1,42,SSRIs,BF,115,-17.9,6.967909305378377,-2.568919774283425
Boyer 1998,2,44,SSRIs,BF,116,-17.9,6.639971794448689,-2.695794583791032
Brannan 2005,1,1,Placebo,CFB,136,-10.27,7.81,-1.3149807938540332
Brannan 2005,2,51,SNRIs,CFB,132,-10.85,7.93,-1.3682219419924337
Burke 2002,1,1,Placebo,CFB,119,-9.4,9.82,-0.9572301425661914
Burke 2002,2,40,SSRIs,CFB,125,-12,10.06,-1.1928429423459244
Burke 2002,3,41,SSRIs,CFB,118,-12.8,8.69,-1.472957422324511
Burke 2002,4,41,SSRIs,CFB,123,-13.9,8.87,-1.5670800450958289
Carman 1991,1,1,Placebo,CFB,48,-7.5,7.76,-0.9664948453608248
Carman 1991,2,45,TCAs,CFB,48,-13.5,7.76,-1.7396907216494846
Chang 2015,1,42,SSRIs,BF,58,-16.3,6.920260110718383,-2.3554027940010362
Chang 2015,2,52,SNRIs,BF,54,-17.2,7.422263805605404,-2.317352286375257
Chiu 1996,1,43,SSRIs,CFB,15,-20.2,9.1,-2.21978021978022
Chiu 1996,2,48,TCAs,CFB,15,-15.3,8.4,-1.8214285714285714
Choi 2012,1,4,Waitlist,BF,30,0.4400000000000013,7.723807351300264,0.056966723791463995
Choi 2012,2,25,Self-help with support,BF,25,-12.28,8.928656113884106,-1.3753469551710629
Choi 2014a/Choi 2014b,1,2,Attention placebo,BF,36,-5.710000000000001,6.740059346919728,-0.8471735493856631
Choi 2014a/Choi 2014b,2,15,Problem solving individual,BF,43,-9.86,6.151812740973184,-1.6027796058109858
Choi 2014a/Choi 2014b,3,15,Problem solving individual,BF,42,-13.67,5.767867890304007,-2.3700265436002375
Chouinard 1999,1,42,SSRIs,CFB,98,-14.78,10.8894444302728,-1.357277691680156
Chouinard 1999,2,43,SSRIs,CFB,100,-13.92,11,-1.2654545454545454
Claghorn 1992a,1,1,Placebo,CFB,27,-4.59,9.35,-0.4909090909090909
Claghorn 1992a,2,43,SSRIs,CFB,32,-10.72,9.39,-1.1416400425985092
Claghorn 1992b,1,1,Placebo,CFB,27,-5.49,8.31,-0.6606498194945848
Claghorn 1992b,2,43,SSRIs,CFB,32,-11.44,8.32,-1.375
Clayton 2006_study 1,1,1,Placebo,CFB,130,-12.1,7.98,-1.5162907268170425
Clayton 2006_study 1,2,41,SSRIs,CFB,133,-14.2,8.07,-1.7596034696406442
Clayton 2006_study 2,1,1,Placebo,CFB,126,-11.9,7.86,-1.5139949109414759
Clayton 2006_study 2,2,41,SSRIs,CFB,133,-12.9,8.07,-1.5985130111524164
Clerc 1994,1,42,SSRIs,BF,34,-15.700000000000005,13.228756555322953,-1.1868084452489738
